YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),ENERGY SHARE
2004,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,570890,0.00293417036724764
2004,CA,Total Electric Power Industry,Total,194780355,1.00110134310108
2004,CA,Total Electric Power Industry,Wind,4305875,0.0221306570969406
2004,CO,Total Electric Power Industry,Coal,35848390,0.748877594105239
2004,CO,Total Electric Power Industry,Gas,10749249,0.224553229016928
2004,CO,Total Electric Power Industry,Hydroelectric,1002864,0.0209499611986691
2004,CO,Total Electric Power Industry,Nuclear,0,0
2004,CO,Total Electric Power Industry,Oil,13868,0.000289704348648613
2004,CO,Total Electric Power Industry,Other,34980,0.000730736812498449
2004,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,CO,Total Electric Power Industry,Total,47869492,1
2004,CO,Total Electric Power Industry,Wind,220141,0.00459877451801661
2004,CT,Total Electric Power Industry,Coal,4255072,0.131932769500562
2004,CT,Total Electric Power Industry,Gas,8107806,0.251390646304757
2004,CT,Total Electric Power Industry,Hydroelectric,470327,0.0145829597433112
2004,CT,Total Electric Power Industry,Nuclear,16539097,0.512811269056889
2004,CT,Total Electric Power Industry,Oil,1740112,0.0539539155626889
2004,CT,Total Electric Power Industry,Other,757819,0.0234969371728954
2004,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,CT,Total Electric Power Industry,Total,32633408,1.0118315026589
2004,CT,Total Electric Power Industry,Wind,0,0
2004,DC,Total Electric Power Industry,Coal,0,0
2004,DC,Total Electric Power Industry,Gas,0,0
2004,DC,Total Electric Power Industry,Hydroelectric,0,0
2004,DC,Total Electric Power Industry,Nuclear,0,0
2004,DC,Total Electric Power Industry,Oil,36487,1
2004,DC,Total Electric Power Industry,Other,0,0
2004,DC,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,DC,Total Electric Power Industry,Total,36487,1
2004,DC,Total Electric Power Industry,Wind,0,0
2004,DE,Total Electric Power Industry,Coal,4743835,0.603883049600903
2004,DE,Total Electric Power Industry,Gas,2008139,0.255633069729978
2004,DE,Total Electric Power Industry,Hydroelectric,0,0
2004,DE,Total Electric Power Industry,Nuclear,0,0
2004,DE,Total Electric Power Industry,Oil,1103578,0.140483817019872
2004,DE,Total Electric Power Industry,Other,0,0
2004,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,DE,Total Electric Power Industry,Total,7855553,1.00000006364925
2004,DE,Total Electric Power Industry,Wind,0,0
2004,FL,Total Electric Power Industry,Coal,64861774,0.299724519988957
2004,FL,Total Electric Power Industry,Gas,76591702,0.353928203028909
2004,FL,Total Electric Power Industry,Hydroelectric,265258,0.00122575011166409
2004,FL,Total Electric Power Industry,Nuclear,31215576,0.144246340421999
2004,FL,Total Electric Power Industry,Oil,37255452,0.172156445608034
2004,FL,Total Electric Power Industry,Other,4501571,0.0208016389926555
2004,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,FL,Total Electric Power Industry,Total,218117928,1.00791710184778
2004,FL,Total Electric Power Industry,Wind,0,0
2004,GA,Total Electric Power Industry,Coal,79942963,0.630500182636372
2004,GA,Total Electric Power Industry,Gas,6129652,0.048343801136035
2004,GA,Total Electric Power Industry,Hydroelectric,2814550,0.0221980049581
2004,GA,Total Electric Power Industry,Nuclear,33747705,0.266163941985218
2004,GA,Total Electric Power Industry,Oil,946528,0.00746514833169794
2004,GA,Total Electric Power Industry,Other,3191739,0.0251728475766858
2004,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,GA,Total Electric Power Industry,Total,126812715,1.00015607337589
2004,GA,Total Electric Power Industry,Wind,0,0
2004,HI,Total Electric Power Industry,Coal,1603751,0.141609854256068
2004,HI,Total Electric Power Industry,Gas,47908,0.00423023580200399
2004,HI,Total Electric Power Industry,Hydroelectric,93901,0.00829137872680922
2004,HI,Total Electric Power Industry,Nuclear,0,0
2004,HI,Total Electric Power Industry,Oil,8944696,0.789809076923308
2004,HI,Total Electric Power Industry,Other,542120,0.047868736598948
2004,HI,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,HI,Total Electric Power Industry,Total,11410403,1.00752891554425
2004,HI,Total Electric Power Industry,Wind,7495,0.0006618021486186
2004,IA,Total Electric Power Industry,Coal,35272196,0.815688305566353
2004,IA,Total Electric Power Industry,Gas,824706,0.0190717651866758
2004,IA,Total Electric Power Industry,Hydroelectric,945959,0.0218758053466601
2004,IA,Total Electric Power Industry,Nuclear,4928948,0.113984545854323
2004,IA,Total Electric Power Industry,Oil,108620,0.00251189531127059
2004,IA,Total Electric Power Industry,Other,105926,0.00244959512743186
2004,IA,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,IA,Total Electric Power Industry,Total,43248189,1.000137388787
2004,IA,Total Electric Power Industry,Wind,1049952,0.0242806988202834
2004,ID,Total Electric Power Industry,Coal,99203,0.00914813518321722
2004,ID,Total Electric Power Industry,Gas,1703823,0.15712027995398
2004,ID,Total Electric Power Industry,Hydroelectric,8461655,0.780302650260032
2004,ID,Total Electric Power Industry,Nuclear,0,0
2004,ID,Total Electric Power Industry,Oil,136,1.25414189582729E-05
2004,ID,Total Electric Power Industry,Other,560280,0.0516669574554494
2004,ID,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,ID,Total Electric Power Industry,Total,10863039,1.00174943572836
2004,ID,Total Electric Power Industry,Wind,0,0
2004,IL,Total Electric Power Industry,Coal,94401628,0.491951975152726
2004,IL,Total Electric Power Industry,Gas,3639320,0.0189654638393823
2004,IL,Total Electric Power Industry,Hydroelectric,153529,0.000800080426507294
2004,IL,Total Electric Power Industry,Nuclear,92047323,0.479683066031139
2004,IL,Total Electric Power Industry,Oil,762340,0.00397275636748478
2004,IL,Total Electric Power Industry,Other,743926,0.00387679611910366
2004,IL,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,IL,Total Electric Power Industry,Total,191957778,1.00034300290911
2004,IL,Total Electric Power Industry,Wind,78073,0.000406859154548678
2004,IN,Total Electric Power Industry,Coal,120670932,0.946356223180695
2004,IN,Total Electric Power Industry,Gas,5574543,0.043718096578871
2004,IN,Total Electric Power Industry,Hydroelectric,443721,0.00347986149395085
2004,IN,Total Electric Power Industry,Nuclear,0,0
2004,IN,Total Electric Power Industry,Oil,425257,0.00333505842485042
2004,IN,Total Electric Power Industry,Other,137370,0.00107731789440668
2004,IN,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,IN,Total Electric Power Industry,Total,127770396,1.00203344242723
2004,IN,Total Electric Power Industry,Wind,0,0
2004,KS,Total Electric Power Industry,Coal,34593346,0.739448058515101
2004,KS,Total Electric Power Industry,Gas,831634,0.0177765442722756
2004,KS,Total Electric Power Industry,Hydroelectric,12547,0.000268197669869488
2004,KS,Total Electric Power Industry,Nuclear,10132736,0.216591709938844
2004,KS,Total Electric Power Industry,Oil,853763,0.0182495614266983
2004,KS,Total Electric Power Industry,Other,0,0
2004,KS,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,KS,Total Electric Power Industry,Total,46782659,1.00000001068772
2004,KS,Total Electric Power Industry,Wind,358632,0.00766591748949026
2004,KY,Total Electric Power Industry,Coal,86120511,0.911114278268868
2004,KY,Total Electric Power Industry,Gas,581541,0.00615242875763656
2004,KY,Total Electric Power Industry,Hydroelectric,3780251,0.0399932678237379
2004,KY,Total Electric Power Industry,Nuclear,0,0
2004,KY,Total Electric Power Industry,Oil,3621099,0.0383095149299
2004,KY,Total Electric Power Industry,Other,411018,0.00434837606137188
2004,KY,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,KY,Total Electric Power Industry,Total,94529947,1.00008213415849
2004,KY,Total Electric Power Industry,Wind,0,0
2004,LA,Total Electric Power Industry,Coal,23657811,0.241923374295401
2004,LA,Total Electric Power Industry,Gas,48702395,0.498027807165569
2004,LA,Total Electric Power Industry,Hydroelectric,1098825,0.0112365193787432
2004,LA,Total Electric Power Industry,Nuclear,17079981,0.174658874247552
2004,LA,Total Electric Power Industry,Oil,3903315,0.0399150680398053
2004,LA,Total Electric Power Industry,Other,2966391,0.0303341386994558
2004,LA,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,LA,Total Electric Power Industry,Total,98172309,1.00390421817347
2004,LA,Total Electric Power Industry,Wind,0,0
2004,MA,Total Electric Power Industry,Coal,10526362,0.223489212016368
2004,MA,Total Electric Power Industry,Gas,20971721,0.445258618401791
2004,MA,Total Electric Power Industry,Hydroelectric,499955,0.010614735555707
2004,MA,Total Electric Power Industry,Nuclear,5938600,0.126084684763872
2004,MA,Total Electric Power Industry,Oil,7533158,0.159939354680639
2004,MA,Total Electric Power Industry,Other,1229901,0.0261124978742079
2004,MA,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,MA,Total Electric Power Industry,Total,47500483,1.00850089670742
2004,MA,Total Electric Power Industry,Wind,0,0
2004,MD,Total Electric Power Industry,Coal,29195458,0.562441201181792
2004,MD,Total Electric Power Industry,Gas,1594866,0.0307245856106796
2004,MD,Total Electric Power Industry,Hydroelectric,2507521,0.0483065935539894
2004,MD,Total Electric Power Industry,Nuclear,14580260,0.280884065868836
2004,MD,Total Electric Power Industry,Oil,3296842,0.0635126112625663
2004,MD,Total Electric Power Industry,Other,589208,0.0113509044888394
2004,MD,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,MD,Total Electric Power Industry,Total,52052770,1.0027800380333
2004,MD,Total Electric Power Industry,Wind,0,0
2004,ME,Total Electric Power Industry,Coal,359410,0.0191019470023945
2004,ME,Total Electric Power Industry,Gas,9832225,0.5225637596773
2004,ME,Total Electric Power Industry,Hydroelectric,3430249,0.182311105987637
2004,ME,Total Electric Power Industry,Nuclear,0,0
2004,ME,Total Electric Power Industry,Oil,1311913,0.0697256409052402
2004,ME,Total Electric Power Industry,Other,3598037,0.191228713966374
2004,ME,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,ME,Total Electric Power Industry,Total,19098885,1.01506883246105
2004,ME,Total Electric Power Industry,Wind,0,0
2004,MI,Total Electric Power Industry,Coal,68606019,0.579728780616189
2004,MI,Total Electric Power Industry,Gas,15146450,0.127989251047551
2004,MI,Total Electric Power Industry,Hydroelectric,426600,0.003604819247869
2004,MI,Total Electric Power Industry,Nuclear,30561961,0.258252098606239
2004,MI,Total Electric Power Industry,Oil,896409,0.00757475953390296
2004,MI,Total Electric Power Industry,Other,2556574,0.0216033454378843
2004,MI,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,MI,Total Electric Power Industry,Total,118487269,1.00123110154391
2004,MI,Total Electric Power Industry,Wind,1875,1.58439664551204E-05
2004,MN,Total Electric Power Industry,Coal,34000208,0.651119010115187
2004,MN,Total Electric Power Industry,Gas,1457584,0.0279133778016809
2004,MN,Total Electric Power Industry,Hydroelectric,738311,0.014138981957909
2004,MN,Total Electric Power Industry,Nuclear,13295502,0.254614739451726
2004,MN,Total Electric Power Industry,Oil,783450,0.0150034137577848
2004,MN,Total Electric Power Industry,Other,984679,0.0188570380440382
2004,MN,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,MN,Total Electric Power Industry,Total,52364127,1.00279617518181
2004,MN,Total Electric Power Industry,Wind,812371,0.0155572636898658
2004,MO,Total Electric Power Industry,Coal,75023555,0.856651140438725
2004,MO,Total Electric Power Industry,Gas,2867251,0.0327395021346839
2004,MO,Total Electric Power Industry,Hydroelectric,1595239,0.0182151233518904
2004,MO,Total Electric Power Industry,Nuclear,7830693,0.0894142124946697
2004,MO,Total Electric Power Industry,Oil,196161,0.00223985046242611
2004,MO,Total Electric Power Industry,Other,9634,0.000110005145543779
2004,MO,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,MO,Total Electric Power Industry,Total,87632910,1.00063016597206
2004,MO,Total Electric Power Industry,Wind,0,0
2004,MS,Total Electric Power Industry,Coal,17477688,0.400296620556038
2004,MS,Total Electric Power Industry,Gas,11659315,0.267036715182141
2004,MS,Total Electric Power Industry,Hydroelectric,0,0
2004,MS,Total Electric Power Industry,Nuclear,10232766,0.234364044531561
2004,MS,Total Electric Power Industry,Oil,2776857,0.0635991712901259
2004,MS,Total Electric Power Industry,Other,1514446,0.034685801452378
2004,MS,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,MS,Total Electric Power Industry,Total,43662613,1.00001764698776
2004,MS,Total Electric Power Industry,Wind,0,0
2004,MT,Total Electric Power Industry,Coal,17380228,0.648787892164132
2004,MT,Total Electric Power Industry,Gas,50925,0.00190098331324873
2004,MT,Total Electric Power Industry,Hydroelectric,8856031,0.330587474769043
2004,MT,Total Electric Power Industry,Nuclear,0,0
2004,MT,Total Electric Power Industry,Oil,439137,0.0163925794645088
2004,MT,Total Electric Power Industry,Other,62446,0.00233105162452883
2004,MT,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,MT,Total Electric Power Industry,Total,26788768,1.00000001866454
2004,MT,Total Electric Power Industry,Wind,0,0
2004,NC,Total Electric Power Industry,Coal,75546115,0.598663631643889
2004,NC,Total Electric Power Industry,Gas,2558654,0.0202760009003794
2004,NC,Total Electric Power Industry,Hydroelectric,5513450,0.043691220917012
2004,NC,Total Electric Power Industry,Nuclear,40090623,0.317697315871849
2004,NC,Total Electric Power Industry,Oil,610909,0.00484113578234879
2004,NC,Total Electric Power Industry,Other,1732802,0.0137315537435617
2004,NC,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,NC,Total Electric Power Industry,Total,126329957,1.00109914114096
2004,NC,Total Electric Power Industry,Wind,0,0
2004,ND,Total Electric Power Industry,Coal,28064224,0.937470758554904
2004,ND,Total Electric Power Industry,Gas,67461,0.00225349950324201
2004,ND,Total Electric Power Industry,Hydroelectric,1545864,0.0516387802742281
2004,ND,Total Electric Power Industry,Nuclear,0,0
2004,ND,Total Electric Power Industry,Oil,38431,0.00128376750135773
2004,ND,Total Electric Power Industry,Other,5603,0.000187165291304086
2004,ND,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,ND,Total Electric Power Industry,Total,29936106,1
2004,ND,Total Electric Power Industry,Wind,214523,0.00716602887496457
2004,NE,Total Electric Power Industry,Coal,20457085,0.639109968477642
2004,NE,Total Electric Power Industry,Gas,297532,0.00929534521370418
2004,NE,Total Electric Power Industry,Hydroelectric,913021,0.0285241432261451
2004,NE,Total Electric Power Industry,Nuclear,10241254,0.319952110533418
2004,NE,Total Electric Power Industry,Oil,21868,0.000683189065825804
2004,NE,Total Electric Power Industry,Other,39518,0.00123460149548674
2004,NE,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,NE,Total Electric Power Industry,Total,32008709,1
2004,NE,Total Electric Power Industry,Wind,38431,0.00120064198777901
2004,NH,Total Electric Power Industry,Coal,4076075,0.170945251973949
2004,NH,Total Electric Power Industry,Gas,5399765,0.226459078531458
2004,NH,Total Electric Power Industry,Hydroelectric,1315756,0.0551810849791124
2004,NH,Total Electric Power Industry,Nuclear,10177573,0.426834094310891
2004,NH,Total Electric Power Industry,Oil,1960452,0.0822187916372572
2004,NH,Total Electric Power Industry,Other,883252,0.0370424331486773
2004,NH,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,NH,Total Electric Power Industry,Total,23875787,1.00131926541866
2004,NH,Total Electric Power Industry,Wind,0,0
2004,NJ,Total Electric Power Industry,Coal,10322484,0.185542200400896
2004,NJ,Total Electric Power Industry,Gas,16000974,0.287610610441975
2004,NJ,Total Electric Power Industry,Hydroelectric,-249736,-0.00448889695148165
2004,NJ,Total Electric Power Industry,Nuclear,27081566,0.486779475360978
2004,NJ,Total Electric Power Industry,Oil,1424853,0.0256111184931667
2004,NJ,Total Electric Power Industry,Other,805832,0.0144844828467116
2004,NJ,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,NJ,Total Electric Power Industry,Total,55882342,1.00446100940776
2004,NJ,Total Electric Power Industry,Wind,0,0
2004,NM,Total Electric Power Industry,Coal,29263899,0.888390354920518
2004,NM,Total Electric Power Industry,Gas,2992674,0.0908512811987701
2004,NM,Total Electric Power Industry,Hydroelectric,138947,0.00421813835009276
2004,NM,Total Electric Power Industry,Nuclear,0,0
2004,NM,Total Electric Power Industry,Oil,31376,0.000952509293993469
2004,NM,Total Electric Power Industry,Other,0,0
2004,NM,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,NM,Total Electric Power Industry,Total,32940361,1
2004,NM,Total Electric Power Industry,Wind,513465,0.0155877162366253
2004,NV,Total Electric Power Industry,Coal,18257265,0.484696269930462
2004,NV,Total Electric Power Industry,Gas,16401776,0.435436504177103
2004,NV,Total Electric Power Industry,Hydroelectric,1615123,0.0428784976051395
2004,NV,Total Electric Power Industry,Nuclear,0,0
2004,NV,Total Electric Power Industry,Oil,95766,0.00254240835010943
2004,NV,Total Electric Power Industry,Other,1297504,0.0344463066631204
2004,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,NV,Total Electric Power Industry,Total,37667435,1.00000001327407
2004,NV,Total Electric Power Industry,Wind,0,0
2004,NY,Total Electric Power Industry,Coal,22852704,0.166174163395362
2004,NY,Total Electric Power Industry,Gas,27294045,0.198469515622762
2004,NY,Total Electric Power Industry,Hydroelectric,23176490,0.168528583584287
2004,NY,Total Electric Power Industry,Nuclear,40640305,0.295517269357156
2004,NY,Total Electric Power Industry,Oil,21205198,0.154194271158591
2004,NY,Total Electric Power Industry,Other,1795226,0.013054042911316
2004,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,NY,Total Electric Power Industry,Total,137964794,1.00321538409474
2004,NY,Total Electric Power Industry,Wind,116450,0.000846769875783186
2004,OH,Total Electric Power Industry,Coal,128156782,0.863905116353064
2004,OH,Total Electric Power Industry,Gas,1693058,0.0114129072660586
2004,OH,Total Electric Power Industry,Hydroelectric,729876,0.00492009553347952
2004,OH,Total Electric Power Industry,Nuclear,15950121,0.107519796637453
2004,OH,Total Electric Power Industry,Oil,1388281,0.00935840491715646
2004,OH,Total Electric Power Industry,Other,427777,0.00288364558777829
2004,OH,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,OH,Total Electric Power Industry,Total,148345905,1.00000003370501
2004,OH,Total Electric Power Industry,Wind,0,0
2004,OK,Total Electric Power Industry,Coal,33801386,0.556629322130766
2004,OK,Total Electric Power Industry,Gas,23285579,0.38345871539683
2004,OK,Total Electric Power Industry,Hydroelectric,2742797,0.0451674151720376
2004,OK,Total Electric Power Industry,Nuclear,0,0
2004,OK,Total Electric Power Industry,Oil,68312,0.00112493796122434
2004,OK,Total Electric Power Industry,Other,249875,0.00411485351125617
2004,OK,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,OK,Total Electric Power Industry,Total,60729560,1.00007300931683
2004,OK,Total Electric Power Industry,Wind,572744,0.00943174651105914
2004,OR,Total Electric Power Industry,Coal,3555661,0.0692295011952622
2004,OR,Total Electric Power Industry,Gas,13525183,0.263338285810891
2004,OR,Total Electric Power Industry,Hydroelectric,33080819,0.644090817010045
2004,OR,Total Electric Power Industry,Nuclear,0,0
2004,OR,Total Electric Power Industry,Oil,62933,0.00122531934251365
2004,OR,Total Electric Power Industry,Other,496091,0.00965900080954254
2004,OR,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,OR,Total Electric Power Industry,Total,51381278,1.00040477613448
2004,OR,Total Electric Power Industry,Wind,619012,0.0120522996972663
2004,PA,Total Electric Power Industry,Coal,117175783,0.546812885469592
2004,PA,Total Electric Power Industry,Gas,10397419,0.0485206289155018
2004,PA,Total Electric Power Industry,Hydroelectric,2469454,0.0115239619715144
2004,PA,Total Electric Power Industry,Nuclear,77458632,0.361468700989583
2004,PA,Total Electric Power Industry,Oil,4141813,0.0193281978547177
2004,PA,Total Electric Power Industry,Other,1969342,0.00919013770530091
2004,PA,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,PA,Total Electric Power Industry,Total,214658501,1.00172605053032
2004,PA,Total Electric Power Industry,Wind,306312,0.00142943656347457
2004,RI,Total Electric Power Industry,Coal,0,0
2004,RI,Total Electric Power Industry,Gas,4783907,0.968516037157808
2004,RI,Total Electric Power Industry,Hydroelectric,5461,0.00110559550570669
2004,RI,Total Electric Power Industry,Nuclear,0,0
2004,RI,Total Electric Power Industry,Oil,48525,0.00982402891675834
2004,RI,Total Electric Power Industry,Other,101526,0.0205542371932572
2004,RI,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,RI,Total Electric Power Industry,Total,4939420,1.00000010122647
2004,RI,Total Electric Power Industry,Wind,0,0
2004,SC,Total Electric Power Industry,Coal,38922220,0.397585518734674
2004,SC,Total Electric Power Industry,Gas,3797868,0.0387947377838628
2004,SC,Total Electric Power Industry,Hydroelectric,1297819,0.0132570557470441
2004,SC,Total Electric Power Industry,Nuclear,51200640,0.523008014803557
2004,SC,Total Electric Power Industry,Oil,871291,0.00890012656533602
2004,SC,Total Electric Power Industry,Other,1763179,0.0180106488616806
2004,SC,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,SC,Total Electric Power Industry,Total,97939929,1.00044389750385
2004,SC,Total Electric Power Industry,Wind,0,0
2004,SD,Total Electric Power Industry,Coal,3620001,0.482010366149353
2004,SD,Total Electric Power Industry,Gas,112255,0.0149469775428503
2004,SD,Total Electric Power Industry,Hydroelectric,3597509,0.479015511408863
2004,SD,Total Electric Power Industry,Nuclear,0,0
2004,SD,Total Electric Power Industry,Oil,22771,0.00303200414795104
2004,SD,Total Electric Power Industry,Other,0,0
2004,SD,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,SD,Total Electric Power Industry,Total,7510214,1
2004,SD,Total Electric Power Industry,Wind,157678,0.0209951407509826
2004,TN,Total Electric Power Industry,Coal,58059632,0.594924222122811
2004,TN,Total Electric Power Industry,Gas,305811,0.00313357775487793
2004,TN,Total Electric Power Industry,Hydroelectric,9590286,0.098269541882134
2004,TN,Total Electric Power Industry,Nuclear,28612271,0.293183619693664
2004,TN,Total Electric Power Industry,Oil,190814,0.0019552289019011
2004,TN,Total Electric Power Industry,Other,826116,0.00846502814008894
2004,TN,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,TN,Total Electric Power Industry,Total,97594542,1.00002971053592
2004,TN,Total Electric Power Industry,Wind,3813,3.90709686026649E-05
2004,TX,Total Electric Power Industry,Coal,148884655,0.381827138789472
2004,TX,Total Electric Power Industry,Gas,192958347,0.49485780479228
2004,TX,Total Electric Power Industry,Hydroelectric,1300609,0.00333552046148635
2004,TX,Total Electric Power Industry,Nuclear,40435372,0.10369989033892
2004,TX,Total Electric Power Industry,Oil,1728906,0.00443392390717465
2004,TX,Total Electric Power Industry,Other,1108997,0.0028441154760785
2004,TX,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,TX,Total Electric Power Industry,Total,390299132,1.00095473803915
2004,TX,Total Electric Power Industry,Wind,3137690,0.00804686819543852
2004,US-TOTAL,Total Electric Power Industry,Coal,1978300549,0.499137369732282
2004,US-TOTAL,Total Electric Power Industry,Gas,725352448,0.183010874261043
2004,US-TOTAL,Total Electric Power Industry,Hydroelectric,259929098,0.0655817066614
2004,US-TOTAL,Total Electric Power Industry,Nuclear,788528387,0.198950551393907
2004,US-TOTAL,Total Electric Power Industry,Oil,121145057,0.0305656413721429
2004,US-TOTAL,Total Electric Power Industry,Other,68348428,0.0172447278521461
2004,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,575155,0.000145115136339363
2004,US-TOTAL,Total Electric Power Industry,Total,3970555263,1.00179546093352
2004,US-TOTAL,Total Electric Power Industry,Wind,14143741,0.00356855265722046
2004,UT,Total Electric Power Industry,Coal,36617854,0.958321322536852
2004,UT,Total Electric Power Industry,Gas,909850,0.0238115716805839
2004,UT,Total Electric Power Industry,Hydroelectric,449848,0.0117729163019919
2004,UT,Total Electric Power Industry,Nuclear,0,0
2004,UT,Total Electric Power Industry,Oil,32601,0.000853196733921762
2004,UT,Total Electric Power Industry,Other,198697,0.0052000745817629
2004,UT,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,UT,Total Electric Power Industry,Total,38211977,1.00004091816489
2004,UT,Total Electric Power Industry,Wind,0,0
2004,VA,Total Electric Power Industry,Coal,35656006,0.453315615852636
2004,VA,Total Electric Power Industry,Gas,6437809,0.0818476234151588
2004,VA,Total Electric Power Industry,Hydroelectric,416939,0.00530078886451787
2004,VA,Total Electric Power Industry,Nuclear,28315294,0.359988859595168
2004,VA,Total Electric Power Industry,Oil,5153612,0.0655208773984819
